Date,GBPUSD
20050101,1.918101
20050102,1.918101
20050103,1.918101
20050104,1.9044
20050105,1.8819
20050106,1.88115
20050107,1.8752
20050108,1.88615
20050109,1.8711
20050110,1.871
20050111,1.8766
20050112,1.8777
20050113,1.88685
20050114,1.8832
20050115,1.8683
20050116,1.87035
20050117,1.8714
20050118,1.8616
20050119,1.86885
20050120,1.8789
20050121,1.86795
20050122,1.867951
20050123,1.8734
20050124,1.8734
20050125,1.87975
20050126,1.87325
20050127,1.88065
20050128,1.8826
20050129,1.882601
20050130,1.88855
20050131,1.88855
20050201,1.8823
20050202,1.88
20050203,1.8881
20050204,1.8808
20050205,1.873
20050206,1.873
20050207,1.873
20050208,1.86855
20050209,1.8547
20050210,1.8574
20050211,1.8582
20050212,1.86545
20050213,1.8685
20050214,1.8685
20050215,1.8889
20050216,1.8903
20050217,1.8788
20050218,1.8849
20050219,1.8849
20050220,1.8849
20050221,1.89455
20050222,1.8966
20050223,1.9109
20050224,1.91075
20050225,1.9098
20050226,1.91235
20050227,1.91875
20050228,1.919
20050301,1.92385
20050302,1.91705
20050303,1.9104
20050304,1.9072
20050305,1.91365
20050306,1.923
20050307,1.923
20050308,1.9118
20050309,1.9239
20050310,1.92135
20050311,1.9235
20050312,1.92095
20050313,1.9261
20050314,1.92525
20050315,1.91775
20050316,1.9157
20050317,1.92535
20050318,1.91955
20050319,1.9139
20050320,1.92225
20050321,1.92225
20050322,1.8993
20050323,1.9
20050324,1.8737
20050325,1.8715
20050326,1.87
20050327,1.87065
20050328,1.87065
20050329,1.86565
20050330,1.87365
20050331,1.8831
20050401,1.8892
20050402,1.88445
20050403,1.88145
20050404,1.88155
20050405,1.8722
20050406,1.8777
20050407,1.8775
20050408,1.876
20050409,1.8746
20050410,1.88605
20050411,1.88605
20050412,1.8887
20050413,1.8845
20050414,1.89405
20050415,1.8806
20050416,1.8933
20050417,1.8934
20050418,1.89305
20050419,1.9029
20050420,1.9173
20050421,1.9195
20050422,1.9132
20050423,1.9161
20050424,1.91585
20050425,1.91585
20050426,1.9102
20050427,1.904
20050428,1.90665
20050429,1.90925
20050430,1.9102
20050501,1.9085
20050502,1.9085
20050503,1.89415
20050504,1.89215
20050505,1.9011
20050506,1.9042
20050507,1.8925
20050508,1.8913
20050509,1.8913
20050510,1.8828
20050511,1.8824
20050512,1.875
20050513,1.8647
20050514,1.8545
20050515,1.8509
20050516,1.84945
20050517,1.83535
20050518,1.83945
20050519,1.836
20050520,1.83665
20050521,1.8251
20050522,1.8268
20050523,1.8273
20050524,1.8288
20050525,1.82795
20050526,1.8321
20050527,1.8225
20050528,1.8226
20050529,1.8242
20050530,1.82495
20050531,1.8235
20050601,1.8224
20050602,1.81445
20050603,1.81765
20050604,1.81575
20050605,1.81495
20050606,1.81595
20050607,1.81955
20050608,1.8299
20050609,1.83825
20050610,1.81955
20050611,1.81135
20050612,1.81255
20050613,1.81255
20050614,1.80175
20050615,1.80595
20050616,1.8184
20050617,1.81975
20050618,1.8238
20050619,1.83265
20050620,1.83265
20050621,1.824
20050622,1.82655
20050623,1.8219
20050624,1.819
20050625,1.8207
20050626,1.820701
20050627,1.82315
20050628,1.8283
20050629,1.8174
20050630,1.8055
20050701,1.786
20050702,1.7718
20050703,1.7686
20050704,1.76755
20050705,1.76075
20050706,1.75345
20050707,1.75835
20050708,1.773679
20050709,1.7365
20050710,1.73775
20050711,1.73775
20050712,1.752971
20050713,1.773364
20050714,1.75295
20050715,1.76075
20050716,1.7542
20050717,1.754201
20050718,1.7504
20050719,1.748
20050720,1.7387
20050721,1.72965
20050722,1.7469
20050723,1.7434
20050724,1.74115
20050725,1.74115
20050726,1.7425
20050727,1.74285
20050728,1.7423
20050729,1.7516
20050730,1.75805
20050731,1.75805
20050801,1.7583
20050802,1.769
20050803,1.77125
20050804,1.78065
20050805,1.7798
20050806,1.7798
20050807,1.7798
20050808,1.7759
20050809,1.78735
20050810,1.784
20050811,1.7955
20050812,1.80725
20050813,1.81435
20050814,1.8148
20050815,1.81455
20050816,1.8105
20050817,1.8095
20050818,1.80625
20050819,1.79415
20050820,1.79415
20050821,1.79415
20050822,1.79834
20050823,1.80255
20050824,1.7993
20050825,1.7989
20050826,1.80485
20050827,1.8071
20050828,1.8003
20050829,1.8003
20050830,1.79995
20050831,1.7832
20050901,1.7974
20050902,1.8296
20050903,1.829599
20050904,1.829599
20050905,1.8393
20050906,1.84375
20050907,1.8422
20050908,1.8396
20050909,1.83915
20050910,1.8417
20050911,1.83835
20050912,1.83945
20050913,1.8228
20050914,1.82235
20050915,1.8252
20050916,1.80515
20050917,1.8042
20050918,1.80855
20050919,1.8027
20050920,1.80565
20050921,1.8047
20050922,1.81095
20050923,1.7924
20050924,1.7778
20050925,1.7778
20050926,1.77245
20050927,1.77825
20050928,1.76585
20050929,1.76185
20050930,1.7615
20051001,1.7615
20051002,1.7643
20051003,1.76475
20051004,1.7594
20051005,1.7594
20051006,1.76295
20051007,1.77215
20051008,1.75945
20051009,1.76085
20051010,1.76065
20051011,1.75225
20051012,1.7463
20051013,1.7518
20051014,1.74855
20051015,1.7666
20051016,1.77025
20051017,1.76975
20051018,1.75465
20051019,1.7482
20051020,1.76245
20051021,1.76975
20051022,1.7744
20051023,1.76925
20051024,1.76885
20051025,1.7691
20051026,1.7859
20051027,1.7767
20051028,1.7831
20051029,1.77665
20051030,1.7736
20051031,1.77325
20051101,1.77145
20051102,1.76415
20051103,1.76975
20051104,1.77325
20051105,1.75865
20051106,1.7638
20051107,1.74955
20051108,1.7416
20051109,1.74125
20051110,1.74045
20051111,1.74135
20051112,1.7422
20051113,1.74185
20051114,1.7422
20051115,1.73885
20051116,1.7359
20051117,1.71865
20051118,1.72025
20051119,1.71555
20051120,1.71555
20051121,1.71675
20051122,1.7167
20051123,1.7204
20051124,1.72315
20051125,1.7216
20051126,1.71545
20051127,1.71545
20051128,1.71285
20051129,1.72855
20051130,1.7165
20051201,1.72955
20051202,1.73265
20051203,1.7336
20051204,1.73345
20051205,1.73205
20051206,1.7409
20051207,1.7414
20051208,1.7352
20051209,1.752
20051210,1.7547
20051211,1.7547
20051212,1.75195
20051213,1.7746
20051214,1.76995
20051215,1.77305
20051216,1.76545
20051217,1.7727
20051218,1.7727
20051219,1.772701
20051220,1.7631
20051221,1.7556
20051222,1.745181
20051223,1.7382
20051224,1.7382
20051225,1.7382
20051226,1.7342
20051227,1.7342
20051228,1.7292
20051229,1.7196
20051230,1.72445
20051231,1.72445
